# Time [s], Mass [Kg]
1.000000000000000000e+00,1.103177148451383455e-01
2.000000000000000000e+00,1.103177148431495752e-01
3.000000000000000000e+00,1.103177148409677649e-01
4.000000000000000000e+00,1.103177148385306172e-01
5.000000000000000000e+00,1.103177148357750159e-01
6.000000000000000000e+00,1.103177148326347223e-01
7.000000000000000000e+00,1.103177148290382659e-01
8.000000000000000000e+00,1.103177148249084444e-01
9.000000000000000000e+00,1.103177148201615471e-01
1.000000000000000000e+01,1.103177148147068826e-01
1.100000000000000000e+01,1.103177148084463211e-01
1.200000000000000000e+01,1.103177148012737252e-01
1.300000000000000000e+01,1.103177147930745616e-01
1.400000000000000000e+01,1.103177147837253735e-01
1.500000000000000000e+01,1.103177147730933366e-01
1.600000000000000000e+01,1.103177147610357456e-01
1.700000000000000000e+01,1.103177147473995284e-01
1.800000000000000000e+01,1.103177147320207468e-01
1.900000000000000000e+01,1.103177147147241105e-01
2.000000000000000000e+01,1.103177146953223525e-01
2.100000000000000000e+01,1.103177146736157715e-01
2.200000000000000000e+01,1.103177146493916905e-01
2.300000000000000000e+01,1.103177146224237903e-01
2.400000000000000000e+01,1.103177145924716107e-01
2.500000000000000000e+01,1.103177145592799391e-01
2.600000000000000000e+01,1.103177145225781863e-01
2.700000000000000000e+01,1.103177144820797345e-01
2.800000000000000000e+01,1.103177144374813817e-01
2.900000000000000000e+01,1.103177143884625649e-01
3.000000000000000000e+01,1.103177143346847355e-01
3.100000000000000000e+01,1.103177142757907486e-01
3.200000000000000000e+01,1.103177142114040166e-01
3.300000000000000000e+01,1.103177141411278428e-01
3.400000000000000000e+01,1.103177140645447279e-01
3.500000000000000000e+01,1.103177139812155094e-01
3.600000000000000000e+01,1.103177138906785842e-01
3.700000000000000000e+01,1.103177137924492568e-01
3.800000000000000000e+01,1.103177136860186563e-01
3.900000000000000000e+01,1.103177135708530848e-01
4.000000000000000000e+01,1.103177134463931286e-01
4.100000000000000000e+01,1.103177133120526454e-01
4.200000000000000000e+01,1.103177131672178901e-01
4.300000000000000000e+01,1.103177130112466958e-01
4.400000000000000000e+01,1.103177128434672805e-01
4.500000000000000000e+01,1.103177126631773447e-01
4.600000000000000000e+01,1.103177124696431421e-01
4.700000000000000000e+01,1.103177122620982026e-01
4.800000000000000000e+01,1.103177120397423744e-01
4.900000000000000000e+01,1.103177118017407005e-01
5.000000000000000000e+01,1.103177115472221137e-01
5.100000000000000000e+01,1.103177112752783268e-01
5.200000000000000000e+01,1.103177109849627219e-01
5.300000000000000000e+01,1.103177106752887826e-01
5.400000000000000000e+01,1.103177103452289559e-01
5.500000000000000000e+01,1.103177099937134031e-01
5.600000000000000000e+01,1.103177096196282791e-01
5.700000000000000000e+01,1.103177092218145111e-01
5.800000000000000000e+01,1.103177087990663691e-01
5.900000000000000000e+01,1.103177083501296202e-01
6.000000000000000000e+01,1.103177078737001132e-01
6.100000000000000000e+01,1.103177073684223353e-01
6.200000000000000000e+01,1.103177068328873023e-01
6.300000000000000000e+01,1.103177062656310048e-01
6.400000000000000000e+01,1.103177056651327703e-01
6.500000000000000000e+01,1.103177050298129458e-01
6.600000000000000000e+01,1.103177043580312738e-01
6.700000000000000000e+01,1.103177036480850887e-01
6.800000000000000000e+01,1.103177028982067209e-01
6.900000000000000000e+01,1.103177021065617075e-01
7.000000000000000000e+01,1.103177012712468485e-01
7.100000000000000000e+01,1.103177003902873071e-01
7.200000000000000000e+01,1.103176994616346662e-01
7.300000000000000000e+01,1.103176984831647361e-01
7.400000000000000000e+01,1.103176974526744319e-01
7.500000000000000000e+01,1.103176963678796779e-01
7.600000000000000000e+01,1.103176952264129373e-01
7.700000000000000000e+01,1.103176940258197292e-01
7.800000000000000000e+01,1.103176927635563798e-01
7.900000000000000000e+01,1.103176914369872891e-01
