Loop,Time,r0-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,r0-E,r0-Hp,p0-K,p1-K,Value,p0-eps,p1-eps,p0-ka,p1-ka,r0-n,r0-nO2,p0-rho,p1-rho,
-1,0,2.46e+12,1.0,0.0,1728.2124672326768,1207.827666820151,1.74e+05,98563.48007239989,8693.301424360974,0.0,5.710151165394211e-05,0.9855728569074454,0.7783966669836273,0.2655489176905551,0.20095223398257378,0.9971869158432867,0.0,1683.0,1235.0,
0,38.4910,2.50e+12,1.0,0.0,1594.3169651958692,1161.3567882649595,1.76e+05,100421.36728791402,9593.467642762695,0.0,5.532452207040404e-05,0.8664836547405292,0.9188220307065592,0.2904531023584317,0.1995902310225054,1.1984860084294402,0.0,1683.0,1235.0,
1,79.4360,2.50e+12,1.0,0.0,1594.3169651958692,1161.3567882649595,1.76e+05,100421.36728791402,9593.467642762695,0.0,5.532452207040404e-05,0.8664836547405292,0.9188220307065592,0.2904531023584317,0.1995902310225054,1.1984860084294402,0.0,1683.0,1235.0,
2,125.4370,2.46e+12,1.0,0.0,1374.9191333517792,1288.148541925022,1.82e+05,101466.88603348233,9759.201652658794,0.0,3.566776804526139e-05,0.8691292748210815,0.9165225076045045,0.29730290131440773,0.21820129899856355,0.9169660090287239,0.0,1683.0,1235.0,
3,173.1440,2.46e+12,1.0,0.0,1374.9191333517792,1288.148541925022,1.82e+05,101466.88603348233,9759.201652658794,0.0,3.566776804526139e-05,0.8691292748210815,0.9165225076045045,0.29730290131440773,0.21820129899856355,0.9169660090287239,0.0,1683.0,1235.0,
4,221.8740,2.50e+12,1.0,0.0,1577.0017394376316,1162.1080963852614,1.78e+05,95567.35639962343,9745.30590245211,0.0,1.980520130413119e-05,0.9290813274054194,0.9078906944191729,0.27959234990408055,0.20359035955954957,1.0856358229658727,0.0,1683.0,1235.0,
5,267.9710,2.50e+12,1.0,0.0,1577.0017394376316,1162.1080963852614,1.78e+05,95567.35639962343,9745.30590245211,0.0,1.980520130413119e-05,0.9290813274054194,0.9078906944191729,0.27959234990408055,0.20359035955954957,1.0856358229658727,0.0,1683.0,1235.0,
6,321.7710,2.50e+12,1.0,0.0,1577.0017394376316,1162.1080963852614,1.78e+05,95567.35639962343,9745.30590245211,0.0,1.980520130413119e-05,0.9290813274054194,0.9078906944191729,0.27959234990408055,0.20359035955954957,1.0856358229658727,0.0,1683.0,1235.0,
7,373.1741,2.45e+12,1.0,0.0,1488.071307013514,1126.849905168399,1.79e+05,98488.42660515776,10330.919637507706,0.0,1.2700110419250475e-05,0.8946224254924943,0.8763190209900595,0.2935869577345426,0.19597367520851264,1.0327262793120768,0.0,1683.0,1235.0,
8,429.1767,2.45e+12,1.0,0.0,1505.2275544717115,1151.1997167776913,1.78e+05,98397.54734363625,10344.948805033262,0.0,1.0644550710007468e-05,0.8897644706916878,0.8796225068607242,0.29103343770402224,0.19748342972808555,1.040635030312591,0.0,1683.0,1235.0,
9,497.4766,2.53e+12,1.0,0.0,1518.9193619193434,1186.5578382219264,1.79e+05,97644.01435403574,10544.775776659659,0.0,8.412106647715317e-06,0.9033283030463399,0.8851546216786836,0.28512184134490137,0.19502939188386723,1.028608727922017,0.0,1683.0,1235.0,
10,559.0027,2.49e+12,1.0,0.0,1527.5464498949145,1183.622859847286,1.78e+05,96341.920382155,10539.522446656169,0.0,7.418359894772006e-06,0.9012950113975414,0.8876636923681028,0.2873609096434538,0.1972491197402786,1.057017147430357,0.0,1683.0,1235.0,
11,619.6708,2.49e+12,1.0,0.0,1526.0845542067834,1167.2949409210112,1.78e+05,96911.38402125394,10313.774010927367,0.0,6.262367186376658e-06,0.897738500676157,0.878630723973036,0.2915995489739477,0.19655903939595537,1.0532282348907234,0.0,1683.0,1235.0,
12,675.2880,2.53e+12,1.0,0.0,1509.937214806762,1155.8055849443779,1.78e+05,97736.81151807866,10376.221874590432,0.0,5.790281917373435e-06,0.8926141302351521,0.8748993105849185,0.28727022780214245,0.19709349377886692,1.0354116256720802,0.0,1683.0,1235.0,
13,733.5910,2.49e+12,1.0,0.0,1511.839025893963,1172.761238325484,1.78e+05,98329.69928835628,10354.523157251768,0.0,4.839040659214157e-06,0.8951413969478426,0.8805672897697719,0.2844409079411812,0.1954329743687503,1.0446253081259842,0.0,1683.0,1235.0,
14,791.0770,2.49e+12,1.0,0.0,1511.9400398677935,1167.0095710218457,1.78e+05,96747.1871791067,10601.528494802837,0.0,3.1903047532061386e-06,0.896995606441964,0.8742697227781059,0.28992265240781506,0.19529315384666557,1.0429344867340542,0.0,1683.0,1235.0,
15,847.4510,2.48e+12,1.0,0.0,1523.9542074662438,1162.3699395215253,1.78e+05,98823.34287204819,10301.616468348195,0.0,3.041820299790647e-06,0.8932417865325328,0.8739897088322086,0.2893601816548617,0.192756239243069,1.052411954107398,0.0,1683.0,1235.0,
16,904.3940,2.48e+12,1.0,0.0,1523.9542074662438,1162.3699395215253,1.78e+05,98823.34287204819,10301.616468348195,0.0,3.041820299790647e-06,0.8932417865325328,0.8739897088322086,0.2893601816548617,0.192756239243069,1.052411954107398,0.0,1683.0,1235.0,
17,962.8430,2.51e+12,1.0,0.0,1516.767194841104,1160.6816896422533,1.78e+05,98362.89148601929,10479.955233716093,0.0,2.566308771205516e-06,0.893185343995955,0.8772174383551048,0.28970994582351034,0.1961839083338207,1.0573520466631654,0.0,1683.0,1235.0,
18,1021.5310,2.51e+12,1.0,0.0,1511.9105786413895,1175.1952450980352,1.79e+05,98274.00117022292,10282.038090976434,0.0,2.5649239508219613e-06,0.8963254156027848,0.880838278914859,0.2905362108358368,0.19310202273993976,1.037650482986906,0.0,1683.0,1235.0,
19,1079.6060,2.51e+12,1.0,0.0,1511.9105786413895,1175.1952450980352,1.79e+05,98274.00117022292,10282.038090976434,0.0,2.5649239508219613e-06,0.8963254156027848,0.880838278914859,0.2905362108358368,0.19310202273993976,1.037650482986906,0.0,1683.0,1235.0,
20,1135.4880,2.47e+12,1.0,0.0,1509.280498948885,1164.0317493691923,1.78e+05,97749.06420024455,10139.891057058529,0.0,1.8468228383292786e-06,0.893683397169192,0.8735059629184405,0.29321947648491486,0.19318063779835115,1.0349106884515509,0.0,1683.0,1235.0,
21,1198.8490,2.48e+12,1.0,0.0,1506.7962618972151,1160.9065806582007,1.78e+05,97853.44746619715,10091.887150890569,0.0,1.601228653050812e-06,0.8938190283354485,0.8753282750015718,0.292382080108041,0.19357437755804902,1.039812186733398,0.0,1683.0,1235.0,
22,1253.2470,2.45e+12,1.0,0.0,1501.1388889877917,1166.6392856009943,1.79e+05,97453.38989574618,9886.20147734902,0.0,1.2827155334803885e-06,0.8925216609748718,0.8719585312641207,0.2941782797724644,0.19152779354729116,1.0293167767957148,0.0,1683.0,1235.0,
23,1308.4430,2.43e+12,1.0,0.0,1500.5027707063255,1171.288026734714,1.79e+05,97526.70362965022,9835.635628719916,0.0,6.947333944622027e-07,0.8957939219192186,0.8707975152247434,0.2957092304489427,0.1920559241062938,1.0141947211321227,0.0,1683.0,1235.0,
