# Time [s], Mass [Kg]
1.000000000000000000e+00,1.168803071421440076e-01
2.000000000000000000e+00,1.168803071421440076e-01
3.000000000000000000e+00,1.168803071421439937e-01
4.000000000000000000e+00,1.168803071421439937e-01
5.000000000000000000e+00,1.168803071421439660e-01
6.000000000000000000e+00,1.168803071421438966e-01
7.000000000000000000e+00,1.168803071421437439e-01
8.000000000000000000e+00,1.168803071421434248e-01
9.000000000000000000e+00,1.168803071421427725e-01
1.000000000000000000e+01,1.168803071421415235e-01
1.100000000000000000e+01,1.168803071421392337e-01
1.200000000000000000e+01,1.168803071421352091e-01
1.300000000000000000e+01,1.168803071421283535e-01
1.400000000000000000e+01,1.168803071421170708e-01
1.500000000000000000e+01,1.168803071420989742e-01
1.600000000000000000e+01,1.168803071420706774e-01
1.700000000000000000e+01,1.168803071420273926e-01
1.800000000000000000e+01,1.168803071419625556e-01
1.900000000000000000e+01,1.168803071418672151e-01
2.000000000000000000e+01,1.168803071417293810e-01
2.100000000000000000e+01,1.168803071415332323e-01
2.200000000000000000e+01,1.168803071412581607e-01
2.300000000000000000e+01,1.168803071408775207e-01
2.400000000000000000e+01,1.168803071403573673e-01
2.500000000000000000e+01,1.168803071396547905e-01
2.600000000000000000e+01,1.168803071387160830e-01
2.700000000000000000e+01,1.168803071374745761e-01
2.800000000000000000e+01,1.168803071358481965e-01
2.900000000000000000e+01,1.168803071337366772e-01
3.000000000000000000e+01,1.168803071310183656e-01
3.100000000000000000e+01,1.168803071275466565e-01
3.200000000000000000e+01,1.168803071231460239e-01
3.300000000000000000e+01,1.168803071176074959e-01
3.400000000000000000e+01,1.168803071106838259e-01
3.500000000000000000e+01,1.168803071020838025e-01
3.600000000000000000e+01,1.168803070914664205e-01
3.700000000000000000e+01,1.168803070784342479e-01
3.800000000000000000e+01,1.168803070625260426e-01
3.900000000000000000e+01,1.168803070432090363e-01
4.000000000000000000e+01,1.168803070198704691e-01
4.100000000000000000e+01,1.168803069918080972e-01
4.200000000000000000e+01,1.168803069582203952e-01
4.300000000000000000e+01,1.168803069181960363e-01
4.400000000000000000e+01,1.168803068707019721e-01
4.500000000000000000e+01,1.168803068145713858e-01
4.600000000000000000e+01,1.168803067484909253e-01
4.700000000000000000e+01,1.168803066709860894e-01
4.800000000000000000e+01,1.168803065804067537e-01
4.900000000000000000e+01,1.168803064749120157e-01
5.000000000000000000e+01,1.168803063524522096e-01
5.100000000000000000e+01,1.168803062107523355e-01
5.200000000000000000e+01,1.168803060472945465e-01
5.300000000000000000e+01,1.168803058592966099e-01
5.400000000000000000e+01,1.168803056436928250e-01
5.500000000000000000e+01,1.168803053971141370e-01
5.600000000000000000e+01,1.168803051158628648e-01
5.700000000000000000e+01,1.168803047958911906e-01
5.800000000000000000e+01,1.168803044327787477e-01
5.900000000000000000e+01,1.168803040217033934e-01
6.000000000000000000e+01,1.168803035574173949e-01
6.100000000000000000e+01,1.168803030342226018e-01
6.200000000000000000e+01,1.168803024459373202e-01
6.300000000000000000e+01,1.168803017858699445e-01
6.400000000000000000e+01,1.168803010467916043e-01
6.500000000000000000e+01,1.168803002208973069e-01
6.600000000000000000e+01,1.168802992997789447e-01
6.700000000000000000e+01,1.168802982743972069e-01
6.800000000000000000e+01,1.168802971350360043e-01
6.900000000000000000e+01,1.168802958712741036e-01
7.000000000000000000e+01,1.168802944719556508e-01
7.100000000000000000e+01,1.168802929251387540e-01
7.200000000000000000e+01,1.168802912180657017e-01
7.300000000000000000e+01,1.168802893371322094e-01
7.400000000000000000e+01,1.168802872678293969e-01
7.500000000000000000e+01,1.168802849947136041e-01
7.600000000000000000e+01,1.168802825013745550e-01
7.700000000000000000e+01,1.168802797703719087e-01
7.800000000000000000e+01,1.168802767832030493e-01
7.900000000000000000e+01,1.168802735202694593e-01
8.000000000000000000e+01,1.168802699608019469e-01
8.100000000000000000e+01,1.168802660828337087e-01
8.200000000000000000e+01,1.168802618631711587e-01
8.300000000000000000e+01,1.168802572773048054e-01
8.400000000000000000e+01,1.168802522993837578e-01
8.500000000000000000e+01,1.168802469021879009e-01
8.600000000000000000e+01,1.168802410570287525e-01
8.700000000000000000e+01,1.168802347337248582e-01
8.800000000000000000e+01,1.168802279005745487e-01
8.900000000000000000e+01,1.168802205242459591e-01
9.000000000000000000e+01,1.168802125697548516e-01
9.100000000000000000e+01,1.168802040004396497e-01
9.200000000000000000e+01,1.168801947778424083e-01
9.300000000000000000e+01,1.168801848616855543e-01
9.400000000000000000e+01,1.168801742098450475e-01
9.500000000000000000e+01,1.168801627782085489e-01
9.600000000000000000e+01,1.168801505206700508e-01
9.700000000000000000e+01,1.168801373891180523e-01
9.800000000000000000e+01,1.168801233332625589e-01
9.900000000000000000e+01,1.168801083006360542e-01
1.000000000000000000e+02,1.168800922365885592e-01
1.010000000000000000e+02,1.168800750840965491e-01
1.020000000000000000e+02,1.168800567837670473e-01
1.030000000000000000e+02,1.168800372738360571e-01
1.040000000000000000e+02,1.168800164899590488e-01
1.050000000000000000e+02,1.168799943652230472e-01
1.060000000000000000e+02,1.168799708301500595e-01
1.070000000000000000e+02,1.168799458124755580e-01
1.080000000000000000e+02,1.168799192371580559e-01
1.090000000000000000e+02,1.168798910263800506e-01
1.100000000000000000e+02,1.168798610992805576e-01
1.110000000000000000e+02,1.168798293720065551e-01
1.120000000000000000e+02,1.168797957577515506e-01
1.130000000000000000e+02,1.168797601664245539e-01
1.140000000000000000e+02,1.168797225047160521e-01
1.150000000000000000e+02,1.168796826761475532e-01
1.160000000000000000e+02,1.168796405807135536e-01
1.170000000000000000e+02,1.168795961149540485e-01
1.180000000000000000e+02,1.168795491720100582e-01
1.190000000000000000e+02,1.168794996412365478e-01
1.200000000000000000e+02,1.168794474082880536e-01
1.210000000000000000e+02,1.168793923551880581e-01
1.220000000000000000e+02,1.168793343599250495e-01
1.230000000000000000e+02,1.168792732965310555e-01
1.240000000000000000e+02,1.168792090351435525e-01
1.250000000000000000e+02,1.168791414415220470e-01
