Loop,Time,r0-A,p0-C0,p0-Cpa,r0-E,r0-Hp,p0-K,Value,p0-eps,p0-ka,r0-n,r0-nO2,p0-rho,
-1,0,7.81e+09,1.0,1637.1242425823166,1.56e+05,855482.0239902488,536.7223300000874,0.0011219764842838429,0.9963473954824035,0.29751604658214953,1.1255333913517978,0.0,1189.37,
0,93.3602,7.81e+09,1.0,1637.1242425823166,1.56e+05,855482.0239902488,536.7223300000874,0.0011219764842838429,0.9963473954824035,0.29751604658214953,1.1255333913517978,0.0,1189.37,
1,195.4212,1.90e+12,1.0,1508.4111321387422,1.76e+05,833180.1537783807,1316.038993051783,0.0009377441826212028,0.9011390322307121,0.2106948176561137,1.0569142791759094,0.0,1189.37,
2,300.9425,3.43e+12,1.0,1493.8104829481565,1.78e+05,889284.8156993284,1649.1561114583283,0.0008093857070460674,0.9131153733765511,0.20649088258206866,0.9804477826713006,0.0,1189.37,
3,402.2648,1.81e+12,1.0,1493.0684339349,1.75e+05,909352.583939373,2244.9103804171514,0.0004930297579865716,0.9230336960728803,0.2204048105657737,0.9039620624196831,0.0,1189.37,
4,502.5513,2.57e+12,1.0,1467.9974537685562,1.77e+05,899356.735322304,1758.0840430049589,0.0003365632989918062,0.9011388942418812,0.2352869570015122,0.9894850121628257,0.0,1189.37,
5,598.4116,2.11e+12,1.0,1463.179060964568,1.75e+05,923732.9520256409,1965.4615867148395,0.00024908868205229774,0.8945055103920403,0.269977339401582,0.9462109261374245,0.0,1189.37,
6,685.3329,1.90e+12,1.0,1478.7001224618798,1.76e+05,904897.6434051173,1855.7313170817238,0.00017718227348762243,0.8949221303436963,0.29405667963034676,0.954539061330314,0.0,1189.37,
7,773.4232,2.13e+12,1.0,1496.1321181529574,1.76e+05,902659.4804151936,1779.470299525658,0.00013650459542521507,0.8948606443716337,0.2987284832214089,0.9719239965339546,0.0,1189.37,
8,860.7750,2.25e+12,1.0,1463.4685258346426,1.76e+05,891836.4262182948,1671.3228242829866,0.00010964593073377251,0.8774903202786024,0.29733583466893065,1.0200936493837025,0.0,1189.37,
