Loop,Time,r0-A,p0-C0,p0-Cpa,r0-E,r0-Hp,p0-K,Value,p0-eps,p0-ka,r0-n,r0-nO2,p0-rho,
-1,0,6.06e+10,1.0,2205.489124951932,1.55e+05,862311.9008456261,1024.4045062822001,0.00022498654177662364,0.9162345097537175,0.18043645315409101,0.9375379019953725,0.0,1180.0,
0,177.3080,5.42e+10,1.0,2192.2134259559634,1.54e+05,797970.7660662474,1046.1236422802785,0.00020515147262649294,0.8672917705650002,0.20788386505813844,0.9163454292669793,0.0,1180.0,
1,375.8530,4.23e+10,1.0,2103.6676549665203,1.50e+05,735196.1911764159,1111.4605557474495,4.528947386978098e-05,0.7974565656836734,0.21110755423164712,0.7318128942450774,0.0,1180.0,
2,583.0180,4.23e+10,1.0,2103.6676549665203,1.50e+05,735196.1911764159,1111.4605557474495,4.528947386978098e-05,0.7974565656836734,0.21110755423164712,0.7318128942450774,0.0,1180.0,
3,803.8880,5.19e+10,1.0,2242.492907662876,1.52e+05,799437.0782347848,1013.1950543424152,4.296382784045533e-05,0.8663642053921443,0.20803709457818348,0.9330678439984758,0.0,1180.0,
4,1021.3440,5.10e+10,1.0,2239.722048868326,1.53e+05,808576.7860067876,948.7173717211142,2.6337739447115503e-05,0.8820905082299814,0.20975536034306036,0.9212450833048769,0.0,1180.0,
5,1234.7390,5.19e+10,1.0,2234.54119973842,1.54e+05,797631.9589039512,1000.0059230564441,1.8869952681290808e-05,0.8858745032069034,0.2100698649365374,0.9453001256197938,0.0,1180.0,
6,1431.9140,5.30e+10,1.0,2245.190282098087,1.54e+05,800369.0354023927,989.7451480238472,1.884981718407275e-05,0.8862342408413043,0.20960969699868015,0.9542683021347235,0.0,1180.0,
7,1618.7400,5.58e+10,1.0,2321.4991452144986,1.53e+05,830355.7156621402,915.3494486351095,1.2897769897585533e-05,0.8935915913419654,0.20952258100522328,0.9872543117090224,0.0,1180.0,
8,1796.1550,5.71e+10,1.0,2370.7641172323324,1.53e+05,845746.752928599,853.8263162148127,7.616507978326264e-06,0.8999640160111653,0.2100130310370223,1.0088414293795696,0.0,1180.0,
9,1977.6270,5.94e+10,1.0,2406.9154833314524,1.53e+05,859115.7319553829,824.7346670698397,6.436015205353615e-06,0.9091243991372738,0.20970164463220464,1.0441560207105272,0.0,1180.0,
10,2145.0540,5.78e+10,1.0,2382.200628331704,1.53e+05,850695.7465916544,846.0264331853483,5.719985190002515e-06,0.9077159048676765,0.20964571858447686,1.0293083434881614,0.0,1180.0,
11,2334.8120,5.75e+10,1.0,2377.624493510377,1.53e+05,849537.1999133208,851.9290857494506,5.417178378746376e-06,0.9115464503631356,0.20960374193374576,1.0345654131675976,0.0,1180.0,
12,2516.1330,5.73e+10,1.0,2358.0557647694964,1.54e+05,843394.23464709,859.6834904804713,5.04408785030904e-06,0.9160827210734113,0.2075530544830226,1.0304000321992899,0.0,1180.0,
13,2699.0610,5.54e+10,1.0,2291.6577624680212,1.55e+05,820189.5692118558,893.1291602243172,3.677536978415102e-06,0.9153593510196946,0.20339502203724724,0.985309907991466,0.0,1180.0,
