Loop,Time,r0-A,p0-C0,p0-Cpa,r0-E,r0-Hp,p0-K,Value,p0-eps,p0-ka,r0-n,r0-nO2,p0-rho,
-1,0,60603911804.03042,1.0,2205.489124951932,154609.18357043024,862311.9008456261,1024.4045062822001,0.00022498654177662364,0.9162345097537175,0.18043645315409101,0.9375379019953725,0.0,1180.0,
-1,0,59278247110.49452,1.0,2438.9941588362594,148000.25941109075,751964.5893498625,1188.1585816141755,0.0002398355073323086,0.7931041348463608,0.21957687818396396,1.016931180545504,0.0,1180.0,
-1,0,60663020671.27683,1.0,2435.825172406384,152760.69109813124,909742.5186784952,831.3536704528904,0.0002660105638697289,0.9239781362206643,0.18430189704724537,0.7372011663492126,0.0,1180.0,
-1,0,43978227315.07925,1.0,2229.789160956442,151104.55926662104,902969.2377398474,999.8578555710058,0.0003766944118645757,0.9251622394817357,0.16415335037376788,1.02478969734857,0.0,1180.0,
-1,0,43328046499.97868,1.0,1947.5926143758163,151264.75496044054,902550.3013002486,1093.7469971924538,0.0004279115117623889,0.846462419209101,0.23751964441967371,0.7628620806535288,0.0,1180.0,
-1,0,60409497139.61531,1.0,1798.4641376246063,156990.30740791414,843469.5278997682,1127.4503249926206,0.00048020495069001816,0.8897116780559149,0.20456446391101912,0.9075982505981881,0.0,1180.0,
-1,0,60394427135.139206,1.0,2318.9097763412283,150379.38772545848,796110.0045300002,1033.9388895299644,0.0005367147613841702,0.8117433745984627,0.19280835376685224,0.8354022760404958,0.0,1180.0,
-1,0,53393391340.11041,1.0,2023.708631422669,161471.4487923505,644067.4392480945,1116.7562654819674,0.0009401891842333766,0.8829652758113968,0.2325161136864345,0.9598440363045335,0.0,1180.0,
-1,0,41850281115.82223,1.0,2551.7897479959165,152828.5305746835,658039.0881719681,1141.2667371122743,0.0009492872790166387,0.8657120951823054,0.19936735593381955,0.9962549250642472,0.0,1180.0,
-1,0,47859471359.72005,1.0,2026.7281406686839,159557.37064425083,809163.8227532979,1199.743366448547,0.000959221787752636,0.9556258870891237,0.18058092626566177,0.7914807429510247,0.0,1180.0,
-1,0,54947944244.31404,1.0,1964.6632463416702,148773.58505023987,731082.8302451038,1158.3515464447553,0.0010002961986687441,0.7719773120173801,0.2165328255684163,1.0128650674530588,0.0,1180.0,
-1,0,48992043646.169334,1.0,2461.0392528788107,148859.60796170577,745169.8990965215,1078.378426304349,0.0012311662901816406,0.7745522585874268,0.21421157072363708,0.7609062628497428,0.0,1180.0,
-1,0,40750254151.15981,1.0,2198.4798546806405,145447.94080483646,774306.8661056446,930.940175677651,0.0012318269686588405,0.8152243511475398,0.1678240429169083,0.7401721334122946,0.0,1180.0,
-1,0,58667921434.65188,1.0,1863.1874545881733,149810.49866430226,772246.5498559811,994.6063750947782,0.0012553807299722558,0.7898868226987344,0.20820880058350819,0.8163330379595554,0.0,1180.0,
-1,0,58635389069.84098,1.0,1853.621503542055,163037.02079208862,922450.0628146243,850.0371652877287,0.0015853801353276405,0.9476784090392092,0.23619814650895138,0.8256110150786176,0.0,1180.0,
-1,0,60441436847.216934,1.0,2602.7970290917146,152635.55928731238,874779.2507454257,1048.7665653081688,0.0017105530253419248,0.8817552605581028,0.17209168026937513,1.0080447290844912,0.0,1180.0,
