# Time [s], Mass [Kg]
1.000000000000000000e+00,1.168803071421440076e-01
2.000000000000000000e+00,1.168803071421440076e-01
3.000000000000000000e+00,1.168803071421440076e-01
4.000000000000000000e+00,1.168803071421439937e-01
5.000000000000000000e+00,1.168803071421439521e-01
6.000000000000000000e+00,1.168803071421437717e-01
7.000000000000000000e+00,1.168803071421432027e-01
8.000000000000000000e+00,1.168803071421415513e-01
9.000000000000000000e+00,1.168803071421371242e-01
1.000000000000000000e+01,1.168803071421263273e-01
1.100000000000000000e+01,1.168803071421017498e-01
1.200000000000000000e+01,1.168803071420490697e-01
1.300000000000000000e+01,1.168803071419420581e-01
1.400000000000000000e+01,1.168803071417345435e-01
1.500000000000000000e+01,1.168803071413484912e-01
1.600000000000000000e+01,1.168803071406563227e-01
1.700000000000000000e+01,1.168803071394557830e-01
1.800000000000000000e+01,1.168803071374349134e-01
1.900000000000000000e+01,1.168803071341243255e-01
2.000000000000000000e+01,1.168803071288335022e-01
2.100000000000000000e+01,1.168803071205672950e-01
2.200000000000000000e+01,1.168803071079183714e-01
2.300000000000000000e+01,1.168803070889302409e-01
2.400000000000000000e+01,1.168803070609263223e-01
2.500000000000000000e+01,1.168803070202985711e-01
2.600000000000000000e+01,1.168803069622483537e-01
2.700000000000000000e+01,1.168803068804748074e-01
2.800000000000000000e+01,1.168803067668024859e-01
2.900000000000000000e+01,1.168803066107371863e-01
3.000000000000000000e+01,1.168803063989487662e-01
3.100000000000000000e+01,1.168803061146698047e-01
3.200000000000000000e+01,1.168803057369933174e-01
3.300000000000000000e+01,1.168803052400772952e-01
3.400000000000000000e+01,1.168803045922397477e-01
3.500000000000000000e+01,1.168803037549157459e-01
3.600000000000000000e+01,1.168803026815112694e-01
3.700000000000000000e+01,1.168803013161238830e-01
3.800000000000000000e+01,1.168802995920758814e-01
3.900000000000000000e+01,1.168802974303473213e-01
4.000000000000000000e+01,1.168802947378538709e-01
4.100000000000000000e+01,1.168802914054796749e-01
4.200000000000000000e+01,1.168802873060299785e-01
4.300000000000000000e+01,1.168802822920114726e-01
4.400000000000000000e+01,1.168802761930924777e-01
4.500000000000000000e+01,1.168802688135352208e-01
4.600000000000000000e+01,1.168802599294447714e-01
4.700000000000000000e+01,1.168802492856063219e-01
4.800000000000000000e+01,1.168802365923683195e-01
4.900000000000000000e+01,1.168802215223353203e-01
5.000000000000000000e+01,1.168802037064793214e-01
5.100000000000000000e+01,1.168801827305363250e-01
5.200000000000000000e+01,1.168801581312198246e-01
5.300000000000000000e+01,1.168801293915423256e-01
5.400000000000000000e+01,1.168800959367363307e-01
5.500000000000000000e+01,1.168800571300028235e-01
5.600000000000000000e+01,1.168800122670583252e-01
5.700000000000000000e+01,1.168799605716403234e-01
5.800000000000000000e+01,1.168799011908538271e-01
5.900000000000000000e+01,1.168798331889203262e-01
6.000000000000000000e+01,1.168797555423898293e-01
6.100000000000000000e+01,1.168796671352148320e-01
6.200000000000000000e+01,1.168795667517758263e-01
6.300000000000000000e+01,1.168794530718458291e-01
6.400000000000000000e+01,1.168793246654508261e-01
6.500000000000000000e+01,1.168791799848058199e-01
6.600000000000000000e+01,1.168790173596558207e-01
6.700000000000000000e+01,1.168788349925308223e-01
6.800000000000000000e+01,1.168786309494308229e-01
6.900000000000000000e+01,1.168784031555158281e-01
7.000000000000000000e+01,1.168781493907308233e-01
7.100000000000000000e+01,1.168778672796158269e-01
7.200000000000000000e+01,1.168775542875108292e-01
7.300000000000000000e+01,1.168772077167308243e-01
7.400000000000000000e+01,1.168768246955208256e-01
7.500000000000000000e+01,1.168764021751808324e-01
7.600000000000000000e+01,1.168759369271708259e-01
7.700000000000000000e+01,1.168754255315908319e-01
7.800000000000000000e+01,1.168748643751408300e-01
7.900000000000000000e+01,1.168742496491058241e-01
8.000000000000000000e+01,1.168735773360008307e-01
8.100000000000000000e+01,1.168728432105958226e-01
8.200000000000000000e+01,1.168720428409158324e-01
8.300000000000000000e+01,1.168711715724008310e-01
8.400000000000000000e+01,1.168702245312808197e-01
8.500000000000000000e+01,1.168691966278708194e-01
8.600000000000000000e+01,1.168680825398208251e-01
8.700000000000000000e+01,1.168668767180208318e-01
8.800000000000000000e+01,1.168655733922208256e-01
8.900000000000000000e+01,1.168641665534708302e-01
9.000000000000000000e+01,1.168626499632708232e-01
9.100000000000000000e+01,1.168610171622708194e-01
9.200000000000000000e+01,1.168592614528708301e-01
9.300000000000000000e+01,1.168573759106208282e-01
9.400000000000000000e+01,1.168553533953708284e-01
9.500000000000000000e+01,1.168531865301708217e-01
9.600000000000000000e+01,1.168508677206208241e-01
9.700000000000000000e+01,1.168483891736208230e-01
9.800000000000000000e+01,1.168457428706708295e-01
9.900000000000000000e+01,1.168429205920208241e-01
1.000000000000000000e+02,1.168399139397708203e-01
1.010000000000000000e+02,1.168367143100208227e-01
1.020000000000000000e+02,1.168333129212208304e-01
1.030000000000000000e+02,1.168297008409708293e-01
1.040000000000000000e+02,1.168258689568208303e-01
1.050000000000000000e+02,1.168218080094708261e-01
1.060000000000000000e+02,1.168175086241208249e-01
1.070000000000000000e+02,1.168129612815208274e-01
1.080000000000000000e+02,1.168081563530208311e-01
1.090000000000000000e+02,1.168030841334708331e-01
1.100000000000000000e+02,1.167977348043208324e-01
1.110000000000000000e+02,1.167920984818208302e-01
1.120000000000000000e+02,1.167861652614708284e-01
1.130000000000000000e+02,1.167799251684208256e-01
1.140000000000000000e+02,1.167733682102708309e-01
1.150000000000000000e+02,1.167664844254208273e-01
1.160000000000000000e+02,1.167592638301208213e-01
1.170000000000000000e+02,1.167516964734708201e-01
1.180000000000000000e+02,1.167437724872208288e-01
1.190000000000000000e+02,1.167354820291708201e-01
1.200000000000000000e+02,1.167268153410708220e-01
1.210000000000000000e+02,1.167177628003708278e-01
1.220000000000000000e+02,1.167083148625708278e-01
1.230000000000000000e+02,1.166984621161708258e-01
1.240000000000000000e+02,1.166881953301708297e-01
1.250000000000000000e+02,1.166775053831708292e-01
