# Time [s], Mass [Kg]
1.000000000000000000e+00,1.168803071421440076e-01
2.000000000000000000e+00,1.168803071421439937e-01
3.000000000000000000e+00,1.168803071421439660e-01
4.000000000000000000e+00,1.168803071421436190e-01
5.000000000000000000e+00,1.168803071421415651e-01
6.000000000000000000e+00,1.168803071421317674e-01
7.000000000000000000e+00,1.168803071420933537e-01
8.000000000000000000e+00,1.168803071419641376e-01
9.000000000000000000e+00,1.168803071415804862e-01
1.000000000000000000e+01,1.168803071405534050e-01
1.100000000000000000e+01,1.168803071380330183e-01
1.200000000000000000e+01,1.168803071322911252e-01
1.300000000000000000e+01,1.168803071200222587e-01
1.400000000000000000e+01,1.168803070952308815e-01
1.500000000000000000e+01,1.168803070475347566e-01
1.600000000000000000e+01,1.168803069596737187e-01
1.700000000000000000e+01,1.168803068039701853e-01
1.800000000000000000e+01,1.168803065374502820e-01
1.900000000000000000e+01,1.168803060952912781e-01
2.000000000000000000e+01,1.168803053822149857e-01
2.100000000000000000e+01,1.168803042614522947e-01
2.200000000000000000e+01,1.168803025408464008e-01
2.300000000000000000e+01,1.168802999555977468e-01
2.400000000000000000e+01,1.168802961473267982e-01
2.500000000000000000e+01,1.168802906389577456e-01
2.600000000000000000e+01,1.168802828047857956e-01
2.700000000000000000e+01,1.168802718357454945e-01
2.800000000000000000e+01,1.168802566993039915e-01
2.900000000000000000e+01,1.168802360930425027e-01
3.000000000000000000e+01,1.168802083928884988e-01
3.100000000000000000e+01,1.168801715951654913e-01
3.200000000000000000e+01,1.168801232509179971e-01
3.300000000000000000e+01,1.168800603952565020e-01
3.400000000000000000e+01,1.168799794703384992e-01
3.500000000000000000e+01,1.168798762387204954e-01
3.600000000000000000e+01,1.168797456946904928e-01
3.700000000000000000e+01,1.168795819700255006e-01
3.800000000000000000e+01,1.168793782271254911e-01
3.900000000000000000e+01,1.168791265557855008e-01
4.000000000000000000e+01,1.168788178662504978e-01
4.100000000000000000e+01,1.168784417663605024e-01
4.200000000000000000e+01,1.168779864511955008e-01
4.300000000000000000e+01,1.168774385922504988e-01
4.400000000000000000e+01,1.168767832060804979e-01
4.500000000000000000e+01,1.168760035495004929e-01
4.600000000000000000e+01,1.168750810191854922e-01
4.700000000000000000e+01,1.168739950253804977e-01
4.800000000000000000e+01,1.168727229090805037e-01
4.900000000000000000e+01,1.168712398699305044e-01
5.000000000000000000e+01,1.168695188544305041e-01
5.100000000000000000e+01,1.168675305264804953e-01
5.200000000000000000e+01,1.168652432560804977e-01
5.300000000000000000e+01,1.168626230380804959e-01
5.400000000000000000e+01,1.168596335385305024e-01
5.500000000000000000e+01,1.168562361661305005e-01
5.600000000000000000e+01,1.168523900468804999e-01
5.700000000000000000e+01,1.168480521695304947e-01
5.800000000000000000e+01,1.168431775601804917e-01
5.900000000000000000e+01,1.168377193247304990e-01
6.000000000000000000e+01,1.168316289114304934e-01
6.100000000000000000e+01,1.168248564006804935e-01
6.200000000000000000e+01,1.168173506206804935e-01
6.300000000000000000e+01,1.168090595147305011e-01
6.400000000000000000e+01,1.167999305265304960e-01
6.500000000000000000e+01,1.167899107317804941e-01
6.600000000000000000e+01,1.167789473292804997e-01
6.700000000000000000e+01,1.167669881287805023e-01
6.800000000000000000e+01,1.167539816332805042e-01
6.900000000000000000e+01,1.167398775787805015e-01
7.000000000000000000e+01,1.167246274422805014e-01
7.100000000000000000e+01,1.167081844522804973e-01
7.200000000000000000e+01,1.166905041067805016e-01
7.300000000000000000e+01,1.166715446327804967e-01
7.400000000000000000e+01,1.166512668697805011e-01
7.500000000000000000e+01,1.166296347187805033e-01
