Loop,Time,r0-A,p0-C0,p0-Cpa,r0-E,r0-Hp,p0-K,Value,p0-eps,p0-ka,r0-n,r0-nO2,p0-rho,
22,3817.8890,1.40e+11,1.0,6093.491186462855,1.22e+05,1468929.7921134173,518.1320993979209,4.1412614113077735e-05,0.9257969729336519,0.5540434312718706,1.9547438945506634,0.0,1180.0,
23,3999.1700,1.40e+11,1.0,6093.491186462855,1.22e+05,1468929.7921134173,518.1320993979209,4.1412614113077735e-05,0.9257969729336519,0.5540434312718706,1.9547438945506634,0.0,1180.0,
24,4191.4890,1.48e+11,1.0,6170.81352704579,1.21e+05,1451715.3578186943,513.1345620894933,4.045865545128686e-05,0.9078414614859505,0.5542743708728686,1.5450837035510623,0.0,1180.0,
25,4383.6640,1.59e+11,1.0,6174.697934843824,1.22e+05,1457874.4202873302,498.41508197160726,3.872033523215104e-05,0.9141560102928621,0.5513394248824774,1.8013128743573767,0.0,1180.0,
26,4580.4980,1.78e+11,1.0,6173.219414082552,1.22e+05,1461074.7555159682,502.01298007670005,3.625421916786302e-05,0.9183164793568145,0.5466916467972136,2.1206701665442935,0.0,1180.0,
27,4770.7650,1.89e+11,1.0,6114.242621175437,1.24e+05,1473121.598468771,492.6503598109282,3.229822289195557e-05,0.9360474842574938,0.5255939326436714,3.307481330764003,0.0,1180.0,
28,4964.5090,1.87e+11,1.0,6089.304638823101,1.24e+05,1478237.1007676343,489.8353781781264,3.2176060629839363e-05,0.9421301777327553,0.52260831713139,3.5880974949001248,0.0,1180.0,
29,5141.3980,1.88e+11,1.0,6110.936425696015,1.24e+05,1476267.881471398,495.1154515643276,3.1493541734833396e-05,0.9393858222518977,0.5230362887297975,3.4460809481823222,0.0,1180.0,
30,5323.2030,1.90e+11,1.0,6110.885904236215,1.24e+05,1478710.1575242337,493.75965716718486,3.102423889774319e-05,0.942278828979116,0.5197219957150174,3.6235175822692156,0.0,1180.0,
31,5495.8940,1.91e+11,1.0,6120.562634038464,1.24e+05,1478690.6428562286,491.12821987689,3.0966429658545966e-05,0.9419643127269101,0.5195252329271967,3.6357011101021044,0.0,1180.0,
32,5681.0310,1.93e+11,1.0,6133.105261178822,1.24e+05,1478216.7945608972,490.18752060952113,3.086344319920326e-05,0.9411590114520966,0.5188771851079816,3.6279906358478033,0.0,1180.0,
33,5856.8020,1.93e+11,1.0,6136.171237813576,1.24e+05,1478947.5330155822,491.92998940134544,3.080233224543487e-05,0.9417229660798832,0.5183924845586854,3.635252701184428,0.0,1180.0,
34,6025.3510,1.93e+11,1.0,6148.243649025329,1.24e+05,1477570.0080751649,488.3718945605397,3.074729853854085e-05,0.9402366226205412,0.51737811398245,3.6363829231528575,0.0,1180.0,
35,6184.2470,1.92e+11,1.0,6163.932426167419,1.24e+05,1476471.3646525869,485.4294556944474,3.073390358138935e-05,0.9388486499868192,0.5163823731471927,3.631539637554225,0.0,1180.0,
36,6356.2790,1.92e+11,1.0,6161.339164019395,1.24e+05,1476602.8086704607,485.6822630989998,3.0722667689521966e-05,0.9390767307119026,0.516332022574402,3.6386175240511687,0.0,1180.0,
37,6509.6890,1.92e+11,1.0,6161.339164019395,1.24e+05,1476602.8086704607,485.6822630989998,3.0722667689521966e-05,0.9390767307119026,0.516332022574402,3.6386175240511687,0.0,1180.0,
38,6682.4600,1.92e+11,1.0,6161.4996000181745,1.24e+05,1476559.423807096,485.5423673561037,3.072254289785388e-05,0.9390316118536703,0.5163114288676172,3.637827008318335,0.0,1180.0,
39,6838.7060,1.92e+11,1.0,6162.271992732329,1.24e+05,1476893.6361984096,485.42447868164146,3.0713302945951835e-05,0.9392868966192847,0.516357029483219,3.6397942400856724,0.0,1180.0,
